Identifiant;Type Objet;Modèle;N° Voie Pair;N° Voie Impair;Voie;Commune;Disponibilité;Début Indisponibilité;Fin Indisponibilité;Motif Indisponibilité;geo_shape;geo_point_2d
450024924;FONTNE_WALLACE;Caryatides;;133;RUE DE L ABBE GROULT;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3023397722060945, 48.83583215898379], ""type"": ""Point""}";48.83583215898379, 2.3023397722060945
450070363;FONTNE_WALLACE;Brumisante;8;;PLACE DE DUBLIN;PARIS 8EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3247746362650488, 48.88053574816992], ""type"": ""Point""}";48.88053574816992, 2.3247746362650488
450072462;FONTNE_WALLACE;Brumisante;;73F;RUE BRANCION;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3026224692036723, 48.83201755836119], ""type"": ""Point""}";48.83201755836119, 2.3026224692036723
450019314;FONTNE_WALLACE;Caryatides;;125F;RUE DE MEAUX;PARIS 19EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3794374044726903, 48.88473564961087], ""type"": ""Point""}";48.88473564961087, 2.3794374044726903
450081001;FONTNE_WALLACE;Caryatides;;23;RUE PAYENNE;PARIS 3EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.362243904081851, 48.857551112602394], ""type"": ""Point""}";48.857551112602394, 2.362243904081851
450072970;FTNE_PETILLANTE;Fontaine pétillante;24;;RUE MARGUERITE DE ROCHECHOUART;PARIS 9EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3449184976846293, 48.87785920015556], ""type"": ""Point""}";48.87785920015556, 2.3449184976846293
450024988;BORNE_FONTAINE;Murale Ecoulement Permanent;2;;RUE ROLLIN;PARIS 5EME ARRONDISSEMENT;NON;2024-09-12T04:00:00+02:00;;APP A REPARER;"{""coordinates"": [2.3520674152311063, 48.84453013136159], ""type"": ""Point""}";48.84453013136159, 2.3520674152311063
450024949;BORNE_FONTAINE;BF Bayard;;75F;RUE DIDOT;PARIS 14EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3179438264252363, 48.829820344172994], ""type"": ""Point""}";48.829820344172994, 2.3179438264252363
450085108;FONTAINE_2EN1;Mât source;;101;QUAI BRANLY;PARIS 15EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2898925039174176, 48.855602411748905], ""type"": ""Point""}";48.855602411748905, 2.2898925039174176
450085250;FONTAINE_2EN1;Mât source;;5;PLACE PINEL;PARIS 13EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.36190390197124, 48.83321226067563], ""type"": ""Point""}";48.83321226067563, 2.36190390197124
450085217;FONTAINE_2EN1;Fontaine Totem 2en1 Atelier;;;QUAI BRANLY;PARIS 7EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.2952623459570822, 48.860637538034574], ""type"": ""Point""}";48.860637538034574, 2.2952623459570822
450085219;FONTAINE_2EN1;Fontaine Totem 2en1 Atelier;;;RUE DE BERCY;PARIS 12EME ARRONDISSEMENT;OUI;;;;"{""coordinates"": [2.3761206597554714, 48.84214073828816], ""type"": ""Point""}";48.84214073828816, 2.3761206597554714
